date,time,p_w
234,1,0.0
234,2,0.0
234,3,0.0
234,4,0.0
234,5,0.0
234,6,0.0
234,7,0.0
234,8,0.0
234,9,0.0
234,10,0.0
234,11,0.0
234,12,0.0
234,13,0.0
234,14,0.0
234,15,0.0
234,16,0.0
234,17,0.0
234,18,0.0
234,19,0.0
234,20,0.0
234,21,147.8
234,22,147.8
234,23,147.8
234,24,147.8
234,25,1137.1
234,26,1137.1
234,27,1137.1
234,28,1137.1
234,29,3027.5
234,30,3027.5
234,31,3027.5
234,32,3027.5
234,33,4638.0
234,34,4638.0
234,35,4638.0
234,36,4638.0
234,37,5742.8
234,38,5742.8
234,39,5742.8
234,40,5742.8
234,41,6428.9
234,42,6428.9
234,43,6428.9
234,44,6428.9
234,45,6836.0
234,46,6836.0
234,47,6836.0
234,48,6836.0
234,49,6765.9
234,50,6765.9
234,51,6765.9
234,52,6765.9
234,53,6442.5
234,54,6442.5
234,55,6442.5
234,56,6442.5
234,57,5533.7
234,58,5533.7
234,59,5533.7
234,60,5533.7
234,61,4087.2
234,62,4087.2
234,63,4087.2
234,64,4087.2
234,65,1897.5
234,66,1897.5
234,67,1897.5
234,68,1897.5
234,69,580.0
234,70,580.0
234,71,580.0
234,72,580.0
234,73,0.0
234,74,0.0
234,75,0.0
234,76,0.0
234,77,0.0
234,78,0.0
234,79,0.0
234,80,0.0
234,81,0.0
234,82,0.0
234,83,0.0
234,84,0.0
234,85,0.0
234,86,0.0
234,87,0.0
234,88,0.0
234,89,0.0
234,90,0.0
234,91,0.0
234,92,0.0
234,93,0.0
234,94,0.0
234,95,0.0
234,96,0.0
235,1,0.0
235,2,0.0
235,3,0.0
235,4,0.0
235,5,0.0
235,6,0.0
235,7,0.0
235,8,0.0
235,9,0.0
235,10,0.0
235,11,0.0
235,12,0.0
235,13,0.0
235,14,0.0
235,15,0.0
235,16,0.0
235,17,0.0
235,18,0.0
235,19,0.0
235,20,0.0
235,21,134.7
235,22,134.7
235,23,134.7
235,24,134.7
235,25,538.5
235,26,538.5
235,27,538.5
235,28,538.5
235,29,305.8
235,30,305.8
235,31,305.8
235,32,305.8
235,33,2499.6
235,34,2499.6
235,35,2499.6
235,36,2499.6
235,37,2279.7
235,38,2279.7
235,39,2279.7
235,40,2279.7
235,41,746.9
235,42,746.9
235,43,746.9
235,44,746.9
235,45,798.5
235,46,798.5
235,47,798.5
235,48,798.5
235,49,632.8
235,50,632.8
235,51,632.8
235,52,632.8
235,53,689.5
235,54,689.5
235,55,689.5
235,56,689.5
235,57,1630.1
235,58,1630.1
235,59,1630.1
235,60,1630.1
235,61,605.9
235,62,605.9
235,63,605.9
235,64,605.9
235,65,1160.2
235,66,1160.2
235,67,1160.2
235,68,1160.2
235,69,199.0
235,70,199.0
235,71,199.0
235,72,199.0
235,73,0.0
235,74,0.0
235,75,0.0
235,76,0.0
235,77,0.0
235,78,0.0
235,79,0.0
235,80,0.0
235,81,0.0
235,82,0.0
235,83,0.0
235,84,0.0
235,85,0.0
235,86,0.0
235,87,0.0
235,88,0.0
235,89,0.0
235,90,0.0
235,91,0.0
235,92,0.0
235,93,0.0
235,94,0.0
235,95,0.0
235,96,0.0
236,1,0.0
236,2,0.0
236,3,0.0
236,4,0.0
236,5,0.0
236,6,0.0
236,7,0.0
236,8,0.0
236,9,0.0
236,10,0.0
236,11,0.0
236,12,0.0
236,13,0.0
236,14,0.0
236,15,0.0
236,16,0.0
236,17,0.0
236,18,0.0
236,19,0.0
236,20,0.0
236,21,127.9
236,22,127.9
236,23,127.9
236,24,127.9
236,25,1115.4
236,26,1115.4
236,27,1115.4
236,28,1115.4
236,29,772.2
236,30,772.2
236,31,772.2
236,32,772.2
236,33,1879.8
236,34,1879.8
236,35,1879.8
236,36,1879.8
236,37,2815.1
236,38,2815.1
236,39,2815.1
236,40,2815.1
236,41,4959.9
236,42,4959.9
236,43,4959.9
236,44,4959.9
236,45,4961.6
236,46,4961.6
236,47,4961.6
236,48,4961.6
236,49,1944.3
236,50,1944.3
236,51,1944.3
236,52,1944.3
236,53,4689.1
236,54,4689.1
236,55,4689.1
236,56,4689.1
236,57,3217.9
236,58,3217.9
236,59,3217.9
236,60,3217.9
236,61,3195.1
236,62,3195.1
236,63,3195.1
236,64,3195.1
236,65,1213.7
236,66,1213.7
236,67,1213.7
236,68,1213.7
236,69,544.5
236,70,544.5
236,71,544.5
236,72,544.5
236,73,0.0
236,74,0.0
236,75,0.0
236,76,0.0
236,77,0.0
236,78,0.0
236,79,0.0
236,80,0.0
236,81,0.0
236,82,0.0
236,83,0.0
236,84,0.0
236,85,0.0
236,86,0.0
236,87,0.0
236,88,0.0
236,89,0.0
236,90,0.0
236,91,0.0
236,92,0.0
236,93,0.0
236,94,0.0
236,95,0.0
236,96,0.0
237,1,0.0
237,2,0.0
237,3,0.0
237,4,0.0
237,5,0.0
237,6,0.0
237,7,0.0
237,8,0.0
237,9,0.0
237,10,0.0
237,11,0.0
237,12,0.0
237,13,0.0
237,14,0.0
237,15,0.0
237,16,0.0
237,17,0.0
237,18,0.0
237,19,0.0
237,20,0.0
237,21,118.3
237,22,118.3
237,23,118.3
237,24,118.3
237,25,1058.0
237,26,1058.0
237,27,1058.0
237,28,1058.0
237,29,2509.5
237,30,2509.5
237,31,2509.5
237,32,2509.5
237,33,4721.9
237,34,4721.9
237,35,4721.9
237,36,4721.9
237,37,5923.9
237,38,5923.9
237,39,5923.9
237,40,5923.9
237,41,6747.3
237,42,6747.3
237,43,6747.3
237,44,6747.3
237,45,6945.1
237,46,6945.1
237,47,6945.1
237,48,6945.1
237,49,6622.7
237,50,6622.7
237,51,6622.7
237,52,6622.7
237,53,6518.1
237,54,6518.1
237,55,6518.1
237,56,6518.1
237,57,5429.4
237,58,5429.4
237,59,5429.4
237,60,5429.4
237,61,2350.6
237,62,2350.6
237,63,2350.6
237,64,2350.6
237,65,2362.4
237,66,2362.4
237,67,2362.4
237,68,2362.4
237,69,511.6
237,70,511.6
237,71,511.6
237,72,511.6
237,73,0.0
237,74,0.0
237,75,0.0
237,76,0.0
237,77,0.0
237,78,0.0
237,79,0.0
237,80,0.0
237,81,0.0
237,82,0.0
237,83,0.0
237,84,0.0
237,85,0.0
237,86,0.0
237,87,0.0
237,88,0.0
237,89,0.0
237,90,0.0
237,91,0.0
237,92,0.0
